season,games,ties,home_win_rate_excl_ties,home_win_rate_incl_ties
2019,256.0,1.0,0.5176470588235295,0.517578125
2020,256.0,1.0,0.4980392156862745,0.498046875
2021,272.0,1.0,0.5166051660516605,0.5165441176470589
2022,271.0,2.0,0.5613382899628253,0.5608856088560885
2023,272.0,0.0,0.5551470588235294,0.5551470588235294
2024,272.0,0.0,0.5330882352941176,0.5330882352941176
